"행정구역","2025년06월_남자 평균연령","2025년06월_여자 평균연령"
"서울특별시 중랑구 면목제2동(1126052000)","47.8","49.6"
"서울특별시 중랑구 면목제4동(1126054000)","47.3","49.7"
"서울특별시 중랑구 면목제5동(1126055000)","44.5","46"
"서울특별시 중랑구 면목본동(1126056500)","47","48.8"
"서울특별시 중랑구 면목제7동(1126057000)","47.3","49.3"
"서울특별시 중랑구 면목제3.8동(1126057500)","48","50"
"서울특별시 중랑구 상봉제1동(1126058000)","44.9","46.9"
"서울특별시 중랑구 상봉제2동(1126059000)","44.6","43.4"
"서울특별시 중랑구 중화제1동(1126060000)","46.7","48.7"
"서울특별시 중랑구 중화제2동(1126061000)","48.8","50"
"서울특별시 중랑구 묵제1동(1126062000)","45.2","46.4"
"서울특별시 중랑구 묵제2동(1126063000)","47.2","48.9"
"서울특별시 중랑구 망우본동(1126065500)","45.2","46.2"
"서울특별시 중랑구 망우제3동(1126066000)","49.5","50.8"
"서울특별시 중랑구 신내1동(1126068000)","45.2","47.5"
"서울특별시 중랑구 신내2동(1126069000)","46.8","49.5"
"서울특별시 성북구 (1129000000)","44.2","46"
"서울특별시 성북구 성북동(1129052500)","45.4","47.4"
"서울특별시 성북구 삼선동(1129055500)","44.9","46.2"
"서울특별시 성북구 동선동(1129057500)","43.3","39.7"
"서울특별시 성북구 돈암제1동(1129058000)","46.6","48.8"
"서울특별시 성북구 돈암제2동(1129059000)","43.1","45.3"
"서울특별시 성북구 안암동(1129060000)","39.3","41.4"
"서울특별시 성북구 보문동(1129061000)","43.8","45.2"
"서울특별시 성북구 정릉제1동(1129062000)","43.8","46.3"
"서울특별시 성북구 정릉제2동(1129063000)","46","48.4"
"서울특별시 성북구 정릉제3동(1129064000)","43.3","48.3"
"서울특별시 성북구 정릉제4동(1129065000)","46","48.7"
"서울특별시 성북구 길음제1동(1129066000)","40.9","42.3"
"서울특별시 성북구 길음제2동(1129068500)","41.7","43.3"
"서울특별시 성북구 종암동(1129070500)","44.3","47.3"
"서울특별시 성북구 월곡제1동(1129071500)","45.3","46.8"
"서울특별시 성북구 월곡제2동(1129072500)","45.8","46.3"
"서울특별시 성북구 장위제1동(1129076000)","45.2","47.1"
"서울특별시 성북구 장위제2동(1129077000)","46.6","49.2"
"서울특별시 성북구 장위제3동(1129078000)","41.9","43"
"서울특별시 성북구 석관동(1129081000)","47.1","48.9"
"서울특별시 강북구 (1130500000)","47.8","50"
"서울특별시 강북구 삼양동(1130553400)","47","49.4"
"서울특별시 강북구 미아동(1130553500)","48.2","49.5"
"서울특별시 강북구 송중동(1130554500)","47.4","49"
"서울특별시 강북구 송천동(1130555500)","50.3","52.1"
"서울특별시 강북구 삼각산동(1130557500)","42.6","45.1"
"서울특별시 강북구 번1동(1130559500)","47.3","48.2"
"서울특별시 강북구 번2동(1130560300)","49.8","53.5"
"서울특별시 강북구 번3동(1130560800)","49.8","53.9"
"서울특별시 강북구 수유1동(1130561500)","48.2","49.8"
"서울특별시 강북구 수유2동(1130562500)","49","51.8"
"서울특별시 강북구 수유3동(1130563500)","47.6","48.9"
