"행정구역","2025년06월_남자 평균연령","2025년06월_여자 평균연령"
"인천광역시 남동구 구월2동(2820052000)","41.9","43.6"
"인천광역시 남동구 구월3동(2820052100)","42.4","43.4"
"인천광역시 남동구 구월4동(2820052200)","49.1","52.9"
"인천광역시 남동구 간석1동(2820053000)","46.1","49.4"
"인천광역시 남동구 간석2동(2820054000)","45.2","47.5"
"인천광역시 남동구 간석3동(2820055000)","47.1","49.5"
"인천광역시 남동구 간석4동(2820055100)","45.9","47.6"
"인천광역시 남동구 만수1동(2820056000)","49","53.2"
"인천광역시 남동구 만수2동(2820057000)","45.5","47.5"
"인천광역시 남동구 만수3동(2820058000)","45.6","47.7"
"인천광역시 남동구 만수4동(2820058100)","46.3","49.6"
"인천광역시 남동구 만수5동(2820058200)","49.2","52.7"
"인천광역시 남동구 만수6동(2820058300)","47.3","50.7"
"인천광역시 남동구 장수서창동(2820065000)","45.5","48.2"
"인천광역시 남동구 서창2동(2820065500)","40.3","42.2"
"인천광역시 남동구 남촌도림동(2820066000)","47.7","50.4"
"인천광역시 남동구 논현1동(2820069000)","43.1","45.3"
"인천광역시 남동구 논현2동(2820070000)","44.1","47.4"
"인천광역시 남동구 논현고잔동(2820071000)","40.8","41.8"
"인천광역시 부평구 (2823700000)","44.5","46.9"
"인천광역시 부평구 부평1동(2823751000)","44.7","46.6"
"인천광역시 부평구 부평2동(2823752000)","45","47.2"
"인천광역시 부평구 부평3동(2823753000)","45.9","48.7"
"인천광역시 부평구 부평4동(2823754000)","44.7","46.7"
"인천광역시 부평구 부평5동(2823755000)","42.3","44.2"
"인천광역시 부평구 부평6동(2823756000)","43.9","46"
"인천광역시 부평구 산곡1동(2823757000)","42.4","45.1"
"인천광역시 부평구 산곡2동(2823758000)","43.4","45.4"
"인천광역시 부평구 산곡3동(2823758100)","48.1","51.7"
"인천광역시 부평구 산곡4동(2823758200)","45.1","48.2"
"인천광역시 부평구 청천1동(2823759100)","39.8","40.7"
"인천광역시 부평구 청천2동(2823759200)","44","46.4"
"인천광역시 부평구 갈산1동(2823764100)","46.3","49.3"
"인천광역시 부평구 갈산2동(2823764200)","47.2","50.3"
"인천광역시 부평구 삼산1동(2823764600)","44.4","47.8"
"인천광역시 부평구 삼산2동(2823764800)","42.4","44.5"
"인천광역시 부평구 부개1동(2823765000)","49.1","52.1"
"인천광역시 부평구 부개2동(2823766000)","44.5","46.5"
"인천광역시 부평구 부개3동(2823766100)","45.1","47.1"
"인천광역시 부평구 일신동(2823767000)","45.6","48.8"
"인천광역시 부평구 십정1동(2823768000)","42.6","44.4"
"인천광역시 부평구 십정2동(2823769000)","49","51"
"인천광역시 계양구 (2824500000)","45.6","47.7"
"인천광역시 계양구 효성1동(2824560100)","45.8","47.7"
"인천광역시 계양구 효성2동(2824560200)","46.4","48.7"
"인천광역시 계양구 계산1동(2824561100)","48.9","50.8"
"인천광역시 계양구 계산2동(2824561200)","48.9","51"
"인천광역시 계양구 계산3동(2824561300)","45.9","48.4"
"인천광역시 계양구 계산4동(2824561400)","44.1","45.1"
"인천광역시 계양구 작전1동(2824562100)","45","47.4"
"인천광역시 계양구 작전2동(2824562200)","45.3","47.2"
"인천광역시 계양구 작전서운동(2824564000)","43.4","45.2"
"인천광역시 계양구 계양1동(2824571000)","46.9","48.7"
"인천광역시 계양구 계양2동(2824572000)","46.8","49.6"
"인천광역시 계양구 계양3동(2824573000)","42.9","45"
"인천광역시 서구 (2826000000)","41.2","42.4"
"인천광역시 서구 검암경서동(2826051500)","40.3","41.7"
"인천광역시 서구 연희동(2826053000)","46.5","49"
"인천광역시 서구 청라1동(2826053600)","37.4","38.1"
"인천광역시 서구 청라2동(2826053700)","37.9","39.1"
"인천광역시 서구 청라3동(2826053900)","36.7","36.9"
"인천광역시 서구 가정1동(2826054200)","39.6","40.7"
"인천광역시 서구 가정2동(2826054300)","39.1","39.8"
"인천광역시 서구 가정3동(2826054400)","47.1","48.8"
"인천광역시 서구 석남1동(2826055000)","47.5","50.4"
"인천광역시 서구 석남2동(2826056000)","49","51.1"
"인천광역시 서구 석남3동(2826056100)","46.6","49.7"
"인천광역시 서구 신현원창동(2826057500)","44.4","45.7"
"인천광역시 서구 가좌1동(2826058000)","46","48.6"
"인천광역시 서구 가좌2동(2826059000)","45.4","48.1"
"인천광역시 서구 가좌3동(2826060000)","48.9","51.3"
"인천광역시 서구 가좌4동(2826061000)","45.8","47.3"
"인천광역시 서구 검단동(2826068000)","43.3","44.7"
"인천광역시 서구 불로대곡동(2826069000)","39.6","40.8"
"인천광역시 서구 원당동(2826070000)","40.2","41.7"
"인천광역시 서구 당하동(2826071000)","41.5","43.4"
"인천광역시 서구 오류왕길동(2826072000)","43.9","44.8"
"인천광역시 서구 마전동(2826073000)","41.8","43.1"
"인천광역시 서구 아라동(2826074000)","34.9","35.2"
"인천광역시 강화군 (2871000000)","54.2","57.1"
"인천광역시 강화군 강화읍(2871025000)","49","52.1"
"인천광역시 강화군 선원면(2871031000)","49.8","51.6"
"인천광역시 강화군 불은면(2871032000)","58.4","60.6"
"인천광역시 강화군 길상면(2871033000)","55","57.6"
"인천광역시 강화군 화도면(2871034000)","57.8","61.1"
"인천광역시 강화군 양도면(2871035000)","57.6","61.3"
"인천광역시 강화군 내가면(2871036000)","59.2","62.7"
"인천광역시 강화군 하점면(2871037000)","59.4","62.8"
"인천광역시 강화군 양사면(2871038000)","59.5","62.6"
"인천광역시 강화군 송해면(2871039000)","57.5","61.4"
"인천광역시 강화군 교동면(2871040000)","60.8","65.6"
"인천광역시 강화군 삼산면(2871041000)","59.1","65"
"인천광역시 강화군 서도면(2871042000)","60.1","64.3"
"인천광역시 강화군 서도면볼음출장소(2871042500)","62.7","66"
"인천광역시 옹진군 (2872000000)","51.4","56.9"
"인천광역시 옹진군 북도면(2872031000)","57.7","60.8"
"인천광역시 옹진군 북도면장봉출장소(2872031500)","58.7","63.5"
"인천광역시 옹진군 백령면(2872033000)","45.8","51.7"
"인천광역시 옹진군 대청면(2872034000)","50.5","58.1"
"인천광역시 옹진군 대청면소청출장소(2872034500)","53.1","65.5"
"인천광역시 옹진군 덕적면(2872035000)","58.7","64"
"인천광역시 옹진군 영흥면(2872036000)","52.2","55.5"
"인천광역시 옹진군 자월면(2872037000)","58.6","63.8"
"인천광역시 옹진군 자월면이작출장소(2872037500)","56.4","64"
"인천광역시 옹진군 연평면(2872038000)","44.8","52.8"
"광주광역시  (2900000000)","42.8","45.3"
"광주광역시 동구 (2911000000)","45.2","47.7"
"광주광역시 동구 충장동(2911052500)","46","41.6"
"광주광역시 동구 동명동(2911054500)","47.5","50.8"
"광주광역시 동구 계림1동(2911056000)","44.7","45.9"
"광주광역시 동구 계림2동(2911057000)","40.1","43.4"
"광주광역시 동구 산수1동(2911059000)","46.7","50"
"광주광역시 동구 산수2동(2911060000)","48.8","51.7"
"광주광역시 동구 지산1동(2911062000)","44.3","49.2"
"광주광역시 동구 지산2동(2911063000)","46.5","50.9"
"광주광역시 동구 서남동(2911065500)","44.1","43.8"
"광주광역시 동구 학동(2911068500)","45","47.5"
"광주광역시 동구 학운동(2911071000)","50.9","54.6"
"광주광역시 동구 지원1동(2911073000)","45.6","48.6"
"광주광역시 동구 지원2동(2911074000)","42.9","45.3"
"광주광역시 서구 (2914000000)","43.4","46.1"
"광주광역시 서구 양동(2914057500)","55","61.5"
"광주광역시 서구 양3동(2914059000)","47.4","52.4"
"광주광역시 서구 농성1동(2914065000)","46.3","48.7"
"광주광역시 서구 농성2동(2914066000)","50.2","51.9"
"광주광역시 서구 광천동(2914073000)","43.5","45.1"
"광주광역시 서구 유덕동(2914074000)","42.4","46"
"광주광역시 서구 치평동(2914074500)","42.4","44.1"
"광주광역시 서구 상무1동(2914075100)","42.8","43.8"
"광주광역시 서구 상무2동(2914075200)","46.3","49.4"
"광주광역시 서구 화정1동(2914076000)","44.7","46.9"
"광주광역시 서구 화정2동(2914077000)","40.1","44"
"광주광역시 서구 화정3동(2914078000)","46.7","50.8"
"광주광역시 서구 화정4동(2914079000)","42.7","46.3"
"광주광역시 서구 서창동(2914080000)","45.3","46.7"
"광주광역시 서구 금호1동(2914082100)","45.5","49.3"
"광주광역시 서구 금호2동(2914082400)","40.9","43.1"
"광주광역시 서구 풍암동(2914083000)","42.1","44.6"
"광주광역시 서구 동천동(2914084000)","41.4","44.3"
"광주광역시 남구 (2915500000)","44.1","46.7"
"광주광역시 남구 양림동(2915551000)","48.6","51.2"
"광주광역시 남구 방림1동(2915552000)","44.8","47.7"
"광주광역시 남구 방림2동(2915553000)","47","50.6"
"광주광역시 남구 봉선1동(2915553700)","44.1","48.2"
"광주광역시 남구 봉선2동(2915553800)","39.6","42.2"
"광주광역시 남구 사직동(2915554500)","50.6","53.9"
"광주광역시 남구 월산동(2915560500)","45.5","48.5"
"광주광역시 남구 월산4동(2915563000)","49.8","53.1"
"광주광역시 남구 월산5동(2915564000)","50.6","54.6"
"광주광역시 남구 백운1동(2915567000)","46.3","49.7"
"광주광역시 남구 백운2동(2915568000)","45.4","46.7"
"광주광역시 남구 주월1동(2915569000)","43.6","46.4"
"광주광역시 남구 주월2동(2915570000)","49.6","52.7"
"광주광역시 남구 진월동(2915570500)","43.5","45.1"
"광주광역시 남구 효덕동(2915571000)","43.4","45.6"
"광주광역시 남구 송암동(2915572000)","37.9","40.4"
"광주광역시 남구 대촌동(2915573000)","46.2","49.1"
"광주광역시 북구 (2917000000)","43.5","46.1"
"광주광역시 북구 중흥1동(2917051000)","47.5","47.3"
"광주광역시 북구 중흥동(2917053500)","43.2","45.2"
"광주광역시 북구 중앙동(2917055500)","45.3","46.4"
"광주광역시 북구 임동(2917057000)","42.2","44"
"광주광역시 북구 신안동(2917058000)","46.5","48.2"
"광주광역시 북구 용봉동(2917059000)","42.8","45.2"
"광주광역시 북구 운암1동(2917060100)","43.5","45.5"
"광주광역시 북구 운암2동(2917060200)","49.4","51.7"
"광주광역시 북구 운암3동(2917060300)","42.5","46.1"
"광주광역시 북구 동림동(2917061500)","42.7","46"
"광주광역시 북구 우산동(2917062000)","44.6","47.9"
"광주광역시 북구 풍향동(2917063500)","44.8","46.9"
"광주광역시 북구 문화동(2917065000)","43.8","46.6"
"광주광역시 북구 문흥1동(2917065600)","45.2","47.3"
"광주광역시 북구 문흥2동(2917065700)","44.8","49"
"광주광역시 북구 두암1동(2917066100)","50","53.2"
"광주광역시 북구 두암2동(2917066200)","48.8","51.6"
"광주광역시 북구 두암3동(2917066300)","52.6","57.3"
"광주광역시 북구 삼각동(2917066600)","42.7","45.8"
"광주광역시 북구 일곡동(2917066900)","40.6","43.9"
"광주광역시 북구 매곡동(2917067300)","42.5","46"
"광주광역시 북구 오치1동(2917067600)","46.7","49"
"광주광역시 북구 오치2동(2917067700)","48.9","52.8"
"광주광역시 북구 석곡동(2917068500)","56.6","60.5"
"광주광역시 북구 건국동(2917069500)","39.9","41.4"
"광주광역시 북구 양산동(2917069600)","41.5","43.6"
"광주광역시 북구 신용동(2917069700)","37","38.6"
"광주광역시 광산구 (2920000000)","40.5","42.2"
"광주광역시 광산구 송정1동(2920051500)","44.7","48.7"
"광주광역시 광산구 송정2동(2920052500)","47.7","51.1"
"광주광역시 광산구 도산동(2920054000)","42.5","45.7"
"광주광역시 광산구 신흥동(2920055000)","47.2","50.2"
"광주광역시 광산구 어룡동(2920056500)","39.4","41"
"광주광역시 광산구 우산동(2920058000)","43.2","45.6"
"광주광역시 광산구 월곡1동(2920060000)","45","47.4"
"광주광역시 광산구 월곡2동(2920061000)","43.7","45.2"
"광주광역시 광산구 비아동(2920062000)","43.9","45.9"
"광주광역시 광산구 첨단1동(2920062400)","40.5","42.1"
"광주광역시 광산구 첨단2동(2920062600)","39.3","41"
"광주광역시 광산구 신가동(2920063000)","38.5","39.8"
"광주광역시 광산구 운남동(2920063500)","41.2","43.9"
"광주광역시 광산구 수완동(2920063700)","36.6","37.7"
"광주광역시 광산구 하남동(2920064000)","38.7","39.2"
"광주광역시 광산구 임곡동(2920065000)","57.7","62.6"
"광주광역시 광산구 동곡동(2920066000)","57","63.5"
"광주광역시 광산구 평동(2920067000)","49.7","53.5"
"광주광역시 광산구 삼도동(2920068000)","56.8","63.2"
"광주광역시 광산구 본량동(2920069000)","59.2","64.9"
"광주광역시 광산구 신창동(2920070000)","38","38.8"
"대전광역시  (3000000000)","43.1","45.4"
"대전광역시 동구 (3011000000)","45.4","48.1"
"대전광역시 동구 중앙동(3011051500)","57.3","60.7"
"대전광역시 동구 효동(3011053000)","40.7","43.2"
"대전광역시 동구 신인동(3011054500)","44.8","48.2"
"대전광역시 동구 판암1동(3011055100)","48.3","52.2"
"대전광역시 동구 판암2동(3011055200)","55.1","60.4"
"대전광역시 동구 용운동(3011056000)","43.6","45.5"
"대전광역시 동구 대동(3011058500)","44","46.6"
"대전광역시 동구 자양동(3011059000)","43","45.3"
"대전광역시 동구 가양1동(3011062000)","47.3","50"
"대전광역시 동구 가양2동(3011063000)","45.7","48.2"
"대전광역시 동구 용전동(3011064000)","44.2","46"
"대전광역시 동구 성남동(3011066500)","48.1","51.1"
"대전광역시 동구 홍도동(3011067000)","44.7","47.6"
"대전광역시 동구 삼성동(3011069500)","49","52.1"
"대전광역시 동구 대청동(3011072500)","57.4","61.7"
"대전광역시 동구 산내동(3011074000)","44","46.6"
"대전광역시 중구 (3014000000)","46","48.3"
"대전광역시 중구 은행선화동(3014053500)","40.4","40.4"
"대전광역시 중구 목동(3014055000)","38.5","39.8"
"대전광역시 중구 중촌동(3014056000)","45.1","48.3"
"대전광역시 중구 대흥동(3014057500)","44.4","45.7"
"대전광역시 중구 문창동(3014060500)","52.3","57.1"
"대전광역시 중구 석교동(3014062000)","51.6","55.2"
"대전광역시 중구 대사동(3014063000)","49.4","52.1"
"대전광역시 중구 부사동(3014064000)","51.1","54.9"
"대전광역시 중구 용두동(3014065500)","43.9","45.4"
"대전광역시 중구 오류동(3014067000)","47.5","50.1"
"대전광역시 중구 태평1동(3014068000)","44.9","47.3"
"대전광역시 중구 태평2동(3014069000)","46.3","48.9"
"대전광역시 중구 유천1동(3014070000)","49.4","52.4"
"대전광역시 중구 유천2동(3014071000)","49","51.5"
"대전광역시 중구 문화1동(3014072000)","43.9","46.4"
"대전광역시 중구 문화2동(3014073000)","49.5","54.1"
"대전광역시 중구 산성동(3014074000)","49.8","52.5"
"대전광역시 서구 (3017000000)","42.3","44.4"
"대전광역시 서구 복수동(3017051000)","42.6","43.9"
"대전광역시 서구 도마1동(3017052000)","45","48.2"
"대전광역시 서구 도마2동(3017053000)","45.8","49.1"
"대전광역시 서구 정림동(3017053500)","47.8","51.6"
"대전광역시 서구 변동(3017054000)","47.9","50.5"
"대전광역시 서구 용문동(3017055000)","41.7","43.9"
"대전광역시 서구 탄방동(3017055500)","41.2","42.6"
"대전광역시 서구 괴정동(3017056000)","41.6","41.9"
"대전광역시 서구 가장동(3017057000)","46.2","48.8"
"대전광역시 서구 내동(3017057500)","44.9","47"
"대전광역시 서구 갈마1동(3017058100)","43.4","45.4"
"대전광역시 서구 갈마2동(3017058200)","41.4","42.7"
"대전광역시 서구 월평1동(3017058600)","41.9","44.1"
"대전광역시 서구 월평2동(3017058700)","48","51.4"
"대전광역시 서구 월평3동(3017058800)","42.7","45.7"
"대전광역시 서구 가수원동(3017059000)","47.5","51"
"대전광역시 서구 도안동(3017059300)","35.9","36.5"
"대전광역시 서구 관저1동(3017059600)","42.6","44.3"
"대전광역시 서구 관저2동(3017059700)","39.1","40.7"
"대전광역시 서구 기성동(3017060000)","57","62.2"
"대전광역시 서구 둔산1동(3017063000)","39.1","40.6"
"대전광역시 서구 둔산2동(3017064000)","40.7","42.2"
"대전광역시 서구 만년동(3017065000)","40.5","43.5"
"대전광역시 서구 둔산3동(3017066000)","43.5","46.6"
"대전광역시 유성구 (3020000000)","39.8","41.7"
"대전광역시 유성구 진잠동(3020052000)","44.3","46.7"
"대전광역시 유성구 학하동(3020052600)","39.9","41.5"
"대전광역시 유성구 상대동(3020052700)","39.1","40.3"
"대전광역시 유성구 온천1동(3020053000)","43","44.3"
"대전광역시 유성구 온천2동(3020054000)","39.2","41.5"
"대전광역시 유성구 노은1동(3020054600)","39.9","41.6"
"대전광역시 유성구 노은2동(3020054700)","41.2","43.4"
"대전광역시 유성구 노은3동(3020054800)","39.7","41.2"
"대전광역시 유성구 신성동(3020055000)","37.9","39.6"
"대전광역시 유성구 전민동(3020057000)","39.6","41.7"
"대전광역시 유성구 구즉동(3020058000)","40","42.4"
"대전광역시 유성구 관평동(3020060000)","37.1","37.8"
"대전광역시 유성구 원신흥동(3020061000)","38.8","41.6"
"대전광역시 대덕구 (3023000000)","45.9","48.6"
"대전광역시 대덕구 오정동(3023051000)","48.3","50.5"
"대전광역시 대덕구 대화동(3023052000)","49.6","53.1"
"대전광역시 대덕구 회덕동(3023052500)","48.7","51.6"
"대전광역시 대덕구 비래동(3023053300)","47.4","50.7"
"대전광역시 대덕구 송촌동(3023054300)","42.8","44.5"
"대전광역시 대덕구 중리동(3023054600)","47.5","50.4"
"대전광역시 대덕구 신탄진동(3023055000)","45.4","47.7"
"대전광역시 대덕구 석봉동(3023056000)","40.6","42.6"
"대전광역시 대덕구 덕암동(3023057000)","46.4","49.8"
"대전광역시 대덕구 목상동(3023058000)","43.8","46.1"
"대전광역시 대덕구 법1동(3023060000)","46.7","50.6"
"대전광역시 대덕구 법2동(3023061000)","47.7","51.4"
"울산광역시  (3100000000)","43.7","45.8"
"울산광역시 중구 (3111000000)","45.1","47.7"
"울산광역시 중구 학성동(3111051000)","49.3","52.7"
"울산광역시 중구 반구1동(3111052000)","45.9","47.9"
"울산광역시 중구 반구2동(3111053000)","48.6","51.5"
"울산광역시 중구 복산동(3111055500)","40.7","43.1"
"울산광역시 중구 중앙동(3111058500)","51.5","54.9"
"울산광역시 중구 우정동(3111059000)","46.1","49.6"
"울산광역시 중구 태화동(3111060000)","42.6","45.2"
"울산광역시 중구 다운동(3111061000)","48.7","52.4"
"울산광역시 중구 병영1동(3111062000)","46.4","48.7"
"울산광역시 중구 병영2동(3111063000)","44","46.7"
"울산광역시 중구 약사동(3111064000)","40.3","41.8"
"울산광역시 중구 성안동(3111065000)","43.3","45.1"
"울산광역시 남구 (3114000000)","43.5","45.8"
"울산광역시 남구 신정1동(3114051000)","48","51.4"
"울산광역시 남구 신정2동(3114052000)","41.6","43.2"
"울산광역시 남구 신정3동(3114053000)","46.1","47.9"
"울산광역시 남구 신정4동(3114054000)","42.9","44.8"
"울산광역시 남구 신정5동(3114055000)","45.6","48.1"
"울산광역시 남구 달동(3114056000)","44.9","48.3"
"울산광역시 남구 삼산동(3114057000)","42.4","44.2"
"울산광역시 남구 삼호동(3114058500)","46","49"
"울산광역시 남구 무거동(3114059500)","42.2","45.1"
"울산광역시 남구 옥동(3114060000)","42.4","44.9"
"울산광역시 남구 대현동(3114062500)","40.2","41.9"
"울산광역시 남구 수암동(3114063500)","42.7","44.1"
"울산광역시 남구 선암동(3114064000)","46.2","48.1"
"울산광역시 남구 야음장생포동(3114067000)","47.5","50.8"
"울산광역시 동구 (3117000000)","43.7","45.4"
"울산광역시 동구 방어동(3117051000)","44.2","46.3"
"울산광역시 동구 일산동(3117052000)","48.7","53"
"울산광역시 동구 화정동(3117053000)","43.8","45.8"
"울산광역시 동구 대송동(3117054000)","45.5","47"
"울산광역시 동구 전하1동(3117055000)","43.5","44.7"
"울산광역시 동구 전하2동(3117056000)","43.9","44.5"
"울산광역시 동구 남목1동(3117058000)","46.6","49.4"
"울산광역시 동구 남목2동(3117059000)","39.7","41"
"울산광역시 동구 남목3동(3117060000)","45","47.2"
"울산광역시 북구 (3120000000)","40.7","42.3"
"울산광역시 북구 농소1동(3120051000)","41.2","42.7"
"울산광역시 북구 농소2동(3120052000)","39.1","40.4"
"울산광역시 북구 농소3동(3120053000)","41","42.6"
"울산광역시 북구 강동동(3120054000)","41.2","42.1"
"울산광역시 북구 효문동(3120056000)","42.1","44.4"
"울산광역시 북구 송정동(3120057000)","40","41.1"
"울산광역시 북구 양정동(3120058000)","39","42.3"
"울산광역시 북구 염포동(3120059000)","44.6","48.2"
"울산광역시 울주군 (3171000000)","45.5","47.5"
"울산광역시 울주군 온산읍(3171025000)","45.9","48.5"
"울산광역시 울주군 언양읍(3171025300)","44.7","46.6"
"울산광역시 울주군 온양읍(3171025600)","44.5","45.7"
"울산광역시 울주군 범서읍(3171025900)","41.7","43.4"
"울산광역시 울주군 청량읍(3171026200)","43.8","45.1"
"울산광역시 울주군 삼남읍(3171026500)","46.7","49.9"
"울산광역시 울주군 서생면(3171031000)","51","54"
"울산광역시 울주군 웅촌면(3171034000)","53.9","57.1"
"울산광역시 울주군 두동면(3171036000)","56.9","59.6"
"울산광역시 울주군 두서면(3171037000)","60.5","64.8"
"울산광역시 울주군 상북면(3171038000)","55.3","58.7"
"울산광역시 울주군 삼동면(3171040000)","60.2","64.6"
"세종특별자치시  (3600000000)","38.9","39.9"
"세종특별자치시  (3611000000)","38.9","39.9"
"세종특별자치시  조치원읍(3611025000)","44.3","47.1"
"세종특별자치시  연기면(3611031000)","51.2","56.8"
"세종특별자치시  연동면(3611032000)","55.7","62.1"
"세종특별자치시  부강면(3611033000)","51.1","56.1"
"세종특별자치시  금남면(3611034000)","53.8","58.6"
"세종특별자치시  장군면(3611035000)","49.6","53.7"
"세종특별자치시  연서면(3611036000)","52.1","57.2"
"세종특별자치시  전의면(3611037000)","53.7","59.3"
"세종특별자치시  전동면(3611038000)","57.9","62.4"
"세종특별자치시  소정면(3611039000)","53.3","57.1"
"세종특별자치시  한솔동(3611051000)","37.9","39.4"
"세종특별자치시  새롬동(3611051500)","35.7","36.6"
"세종특별자치시  나성동(3611051800)","34.8","34.3"
"세종특별자치시  도담동(3611052000)","38.2","39.9"
"세종특별자치시  어진동(3611052300)","35","34.8"
"세종특별자치시  해밀동(3611052500)","32.7","32.9"
"세종특별자치시  아름동(3611053000)","36.1","37"
"세종특별자치시  종촌동(3611054000)","37.6","38.7"
"세종특별자치시  고운동(3611055000)","36.3","37.6"
"세종특별자치시  소담동(3611055500)","36.2","37"
"세종특별자치시  반곡동(3611055600)","34.1","34.5"
"세종특별자치시  보람동(3611056000)","36.8","37.5"
"세종특별자치시  대평동(3611057000)","37.9","39.7"
"세종특별자치시  다정동(3611058000)","35.6","36.6"
"경기도  (4100000000)","43","44.8"
"경기도 수원시 (4111000000)","41.7","43.6"
"경기도 수원시 장안구 (4111100000)","43.2","45.6"
"경기도 수원시 장안구 파장동(4111156000)","45.1","47.7"
"경기도 수원시 장안구 율천동(4111156600)","39.7","43"
"경기도 수원시 장안구 정자1동(4111157100)","41.5","43.9"
"경기도 수원시 장안구 정자2동(4111157200)","41.7","43.6"
"경기도 수원시 장안구 정자3동(4111157300)","40.1","41.8"
"경기도 수원시 장안구 영화동(4111158000)","50","52.2"
"경기도 수원시 장안구 송죽동(4111159100)","45.5","47.7"
"경기도 수원시 장안구 조원1동(4111159700)","45.7","48.3"
"경기도 수원시 장안구 조원2동(4111159800)","45.2","47.2"
"경기도 수원시 장안구 연무동(4111160000)","46.4","50.2"
"경기도 수원시 권선구 (4111300000)","42.5","44.4"
"경기도 수원시 권선구 세류1동(4111352000)","44.2","46.5"
"경기도 수원시 권선구 세류2동(4111353000)","46.4","48.7"
"경기도 수원시 권선구 세류3동(4111354000)","47.2","49.3"
"경기도 수원시 권선구 평동(4111355000)","43.5","45.8"
"경기도 수원시 권선구 서둔동(4111356000)","44.6","47.1"
"경기도 수원시 권선구 구운동(4111365000)","45.8","48.3"
"경기도 수원시 권선구 금곡동(4111366200)","41.2","43.1"
"경기도 수원시 권선구 호매실동(4111366400)","39.1","40.7"
"경기도 수원시 권선구 권선1동(4111367000)","43.2","44.2"
"경기도 수원시 권선구 권선2동(4111368000)","40.3","42.6"
"경기도 수원시 권선구 곡선동(4111369000)","41","41.6"
"경기도 수원시 권선구 입북동(4111370000)","40.9","42.3"
"경기도 수원시 팔달구 (4111500000)","43.4","45.5"
"경기도 수원시 팔달구 매교동(4111565000)","38.5","40"
"경기도 수원시 팔달구 매산동(4111566000)","47","49.4"
"경기도 수원시 팔달구 고등동(4111567000)","42.7","44.4"
"경기도 수원시 팔달구 화서1동(4111568000)","46.1","48.3"
"경기도 수원시 팔달구 화서2동(4111569000)","42.8","45"
"경기도 수원시 팔달구 지동(4111570000)","50","54.4"
"경기도 수원시 팔달구 우만1동(4111571000)","46.1","50.2"
"경기도 수원시 팔달구 우만2동(4111572000)","40.8","44"
"경기도 수원시 팔달구 인계동(4111573000)","41","42.2"
"경기도 수원시 팔달구 행궁동(4111574000)","50.7","52.3"
"경기도 수원시 영통구 (4111700000)","38.8","40.2"
"경기도 수원시 영통구 매탄1동(4111751000)","42.6","44.8"
"경기도 수원시 영통구 매탄2동(4111752000)","44.3","47"
"경기도 수원시 영통구 매탄3동(4111753000)","40","41.9"
"경기도 수원시 영통구 매탄4동(4111754000)","42.9","46.5"
"경기도 수원시 영통구 원천동(4111755000)","38","39.1"
"경기도 수원시 영통구 영통1동(4111757000)","39.7","41.5"
"경기도 수원시 영통구 영통2동(4111758000)","37","38.6"
"경기도 수원시 영통구 영통3동(4111758500)","38.6","40.1"
"경기도 수원시 영통구 망포1동(4111759300)","38.4","39.6"
"경기도 수원시 영통구 망포2동(4111759600)","34.9","35.7"
"경기도 수원시 영통구 광교1동(4111760000)","37.8","37.9"
"경기도 수원시 영통구 광교2동(4111761000)","39.8","42"
"경기도 성남시 (4113000000)","43.5","45.3"
"경기도 성남시 수정구 (4113100000)","44.8","46.7"
"경기도 성남시 수정구 신흥1동(4113151000)","48.4","51.7"
"경기도 성남시 수정구 신흥2동(4113152000)","41.6","43"
"경기도 성남시 수정구 신흥3동(4113153000)","48.2","50.2"
"경기도 성남시 수정구 태평1동(4113154000)","47.5","50.5"
"경기도 성남시 수정구 태평2동(4113155000)","46.8","49.9"
"경기도 성남시 수정구 태평3동(4113156000)","48.4","50.8"
"경기도 성남시 수정구 태평4동(4113156100)","46.7","49.5"
"경기도 성남시 수정구 수진1동(4113157000)","50.2","53.8"
"경기도 성남시 수정구 수진2동(4113158000)","48.3","50.9"
"경기도 성남시 수정구 단대동(4113159000)","45.5","48.7"
"경기도 성남시 수정구 산성동(4113160000)","46.5","50.1"
"경기도 성남시 수정구 양지동(4113161000)","47.2","49.3"
"경기도 성남시 수정구 복정동(4113162000)","41.3","42.4"
"경기도 성남시 수정구 위례동(4113162500)","41.3","42.1"
"경기도 성남시 수정구 신촌동(4113163000)","38.3","40.8"
"경기도 성남시 수정구 고등동(4113164000)","40.9","41.9"
"경기도 성남시 수정구 시흥동(4113165000)","44.2","46.4"
"경기도 성남시 중원구 (4113300000)","45.2","47.2"
"경기도 성남시 중원구 성남동(4113351000)","45.8","48"
"경기도 성남시 중원구 중앙동(4113352500)","44","45.4"
"경기도 성남시 중원구 금광1동(4113353000)","40.7","41.6"
"경기도 성남시 중원구 금광2동(4113354000)","46.4","47.8"
"경기도 성남시 중원구 은행1동(4113355000)","44.3","46.7"
"경기도 성남시 중원구 은행2동(4113356000)","47.3","50.3"
"경기도 성남시 중원구 상대원1동(4113357000)","46.5","49.2"
"경기도 성남시 중원구 상대원2동(4113358000)","49.1","50.3"
"경기도 성남시 중원구 상대원3동(4113359000)","49","51.2"
"경기도 성남시 중원구 하대원동(4113366000)","45.7","47.7"
"경기도 성남시 중원구 도촌동(4113367000)","42.3","44.9"
"경기도 성남시 분당구 (4113500000)","42.1","43.8"
"경기도 성남시 분당구 분당동(4113551000)","42.7","44.9"
"경기도 성남시 분당구 수내1동(4113552000)","41.3","43.6"
